param_type,group_id,bmi_noise_std,age_noise_std,gc_noise_std,c_min,p_target,achievement_time_mean,achievement_time_std,achievement_time_min,achievement_time_max,success_prob_mean,success_prob_std,n_runs
feature_noise,0,0.0,0.0,0.0,0.04,0.75,134.0,0.0,134.0,134.0,0.6912863719772615,1.1214946133455537e-16,50
feature_noise,0,0.0,0.0,0.0032799548371410963,0.04,0.75,134.0,0.0,134.0,134.0,0.6913021294162961,0.00013280700826957402,50
feature_noise,0,0.0,0.0,0.007667542263649408,0.04,0.75,134.0,0.0,134.0,134.0,0.6912477575936623,0.00022457683075950347,50
feature_noise,0,0.0,0.0,-0.08874810298210642,0.04,0.75,134.0,0.0,134.0,134.0,0.6912806374828206,0.0006099041011396982,50
feature_noise,0,0.0,0.0,-0.08931306215848628,0.04,0.75,133.86,0.3505098327538656,133.0,134.0,0.6915223258477039,0.0012528454035023837,50
feature_noise,0,0.0,0.5,0.0,0.04,0.75,133.92,0.27404751561786966,133.0,134.0,0.6912827622302722,0.0010425866379421508,50
feature_noise,0,0.0,0.5,0.0043751224861987,0.04,0.75,133.94,0.23989793748209523,133.0,134.0,0.691249306388057,0.0010828368346797838,50
feature_noise,0,0.0,0.5,-0.021165621016752744,0.04,0.75,133.9,0.30304576336566325,133.0,134.0,0.6913473963951065,0.0010666555744555954,50
feature_noise,0,0.0,0.5,-0.005457257578066726,0.04,0.75,133.92,0.4444671196029727,133.0,135.0,0.6913063350675466,0.0013367438218034812,50
feature_noise,0,0.0,0.5,-0.11814790679288201,0.04,0.75,133.9,0.41649656391752143,133.0,135.0,0.6913286677812934,0.0014940637167364292,50
feature_noise,0,0.0,1.0,0.0,0.04,0.75,133.76,0.517450579322138,133.0,135.0,0.6919743514847637,0.002073174022213128,50
feature_noise,0,0.0,1.0,-0.0044301215324146735,0.04,0.75,133.9,0.614451804788759,133.0,135.0,0.6911687218016865,0.0022298688482116657,50
feature_noise,0,0.0,1.0,0.040019262031803074,0.04,0.75,133.72,0.5728553615932407,132.0,135.0,0.6919680444888782,0.0020227214686550227,50
feature_noise,0,0.0,1.0,0.07717464280072767,0.04,0.75,133.98,0.6223720260226275,133.0,136.0,0.6909050074526981,0.0021870157291549127,50
feature_noise,0,0.0,1.0,0.11656720898838191,0.04,0.75,133.82,0.6605501726683939,133.0,135.0,0.6914042821198624,0.0025262742089577463,50
feature_noise,0,0.0,2.0,0.0,0.04,0.75,133.8,1.261680123761121,131.0,137.0,0.6916014065106026,0.00491779742268509,50
feature_noise,0,0.0,2.0,0.004997881042957989,0.04,0.75,133.84,1.1842503872035832,131.0,136.0,0.6913377687514644,0.004625937149386924,50
feature_noise,0,0.0,2.0,-0.0172396471062675,0.04,0.75,134.16,0.9553287712743136,132.0,136.0,0.6901368487175938,0.003954031677627788,50
feature_noise,0,0.0,2.0,0.04879920251470259,0.04,0.75,133.76,1.152813771533258,131.0,136.0,0.6920439844111657,0.004495170038736993,50
feature_noise,0,0.0,2.0,-0.03341207333803085,0.04,0.75,134.06,1.4485742462638138,130.0,137.0,0.6908560552335773,0.005471633089875056,50
feature_noise,0,0.0,3.0,0.0,0.04,0.75,134.44,1.5274361605284184,131.0,138.0,0.6893454613593736,0.006036031364578369,50
