param_type,group_id,bmi_noise_std,age_noise_std,c_min,p_target,achievement_time_mean,achievement_time_std,achievement_time_min,achievement_time_max,n_runs
feature_noise,0,0.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.0,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.0,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.0,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.2,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.2,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.2,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.2,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.5,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.5,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.5,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,0.5,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,1.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,1.0,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,1.0,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,0,1.0,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.035,0.7,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.035,0.75,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.035,0.8,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.04,0.7,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.04,0.8,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.045,0.7,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.045,0.75,80.0,0.0,80.0,80.0,50
model_params,0,0.0,0.0,0.045,0.8,80.0,0.0,80.0,80.0,50
feature_noise,1,0.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.0,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.0,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.0,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.2,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.2,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.2,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.2,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.5,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.5,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.5,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,0.5,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,1.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,1.0,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,1.0,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,1,1.0,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.035,0.7,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.035,0.75,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.035,0.8,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.04,0.7,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.04,0.8,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.045,0.7,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.045,0.75,80.0,0.0,80.0,80.0,50
model_params,1,0.0,0.0,0.045,0.8,80.0,0.0,80.0,80.0,50
feature_noise,2,0.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.0,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.0,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.0,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.2,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.2,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.2,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.2,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.5,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.5,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.5,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,0.5,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,1.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,1.0,0.5,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,1.0,1.0,0.04,0.75,80.0,0.0,80.0,80.0,50
feature_noise,2,1.0,2.0,0.04,0.75,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.035,0.7,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.035,0.75,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.035,0.8,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.04,0.7,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.04,0.75,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.04,0.8,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.045,0.7,80.0,0.0,80.0,80.0,50
model_params,2,0.0,0.0,0.045,0.75,81.0,0.0,81.0,81.0,50
model_params,2,0.0,0.0,0.045,0.8,88.0,0.0,88.0,88.0,50
