feature,coefficient,abs_coefficient
21_z_quality_interaction,47.596975359722,47.596975359722
21号染色体的Z值,-47.26555533932959,47.26555533932959
18_gc_deviation,-2.093005206326014,2.093005206326014
18号染色体的GC含量,-2.0443242716165515,2.0443242716165515
13_gc_deviation,2.017698831791226,2.017698831791226
age_bmi_interaction,-1.9217419633046484,1.9217419633046484
13号染色体的GC含量,1.8623732759064082,1.8623732759064082
bmi_risk,1.616279945590172,1.616279945590172
年龄,0.9223416427803505,0.9223416427803505
X染色体的Z值,-0.3053694861233045,0.3053694861233045
在参考基因组上比对的比例,0.023116913341473675,0.023116913341473675
被过滤掉读段数的比例,0.002903919061854709,0.002903919061854709
